Title,Author,Rating,Reviews
Mahabharata [Bhagavad Gita],Unknown,No rating,No Reviews
Epic of Gilgamesh,Unknown,No rating,No Reviews
The Old Testament,Unknown,No rating,No Reviews
Illiad,Homer,No rating,No Reviews
Odyssey,Homer,No rating,No Reviews
Histories,Herodotus,No rating,No Reviews
[Plays],Sophocles,No rating,No Reviews
[Plays],Aeschyles,No rating,No Reviews
Hippolytus,Euripides,No rating,No Reviews
Bachants,Euripides,No rating,No Reviews
Electra,Euripides,No rating,No Reviews
The Phornician Women,Euripides,No rating,No Reviews
The Peloponesian War,Thucydides,No rating,No Reviews
Dialogues,Plato,No rating,No Reviews
Poetics,Aristotle,No rating,No Reviews
Physics,Aristotle,No rating,No Reviews
Ethics,Aristotle,No rating,No Reviews
De Anima,Aristotle,No rating,No Reviews
Greek Anthology,Unknown,No rating,No Reviews
On The Nature of Things,Lucretius,No rating,No Reviews
Parallel Lives,Plutarch,No rating,No Reviews
Aeneid,Virgil,No rating,No Reviews
Bucolics,Virgil,No rating,No Reviews
Georgics,Virgil,No rating,No Reviews
Annals,Tacitus,No rating,No Reviews
Metamorphoses,Ovid,No rating,No Reviews
Heroides,Ovid,No rating,No Reviews
Amores,Ovid,No rating,No Reviews
The New Testament,Unknown,No rating,No Reviews
The Twelve Caesars,Suetonius,No rating,No Reviews
Meditations,Marcus Aurelius,No rating,No Reviews
[Poems],Catullus,No rating,No Reviews
[Poems],Horace,No rating,No Reviews
Discourses,Epictetus,No rating,No Reviews
[Plays],Aristophanes,No rating,No Reviews
Historical Miscellany,Aelianus,No rating,No Reviews
On the Nature of Animals,Aelianus,No rating,No Reviews
Argonautica,Apollonius Rhodius,No rating,No Reviews
Fourteen Byzantine Rulers,Michael Psellus,No rating,No Reviews
The Rise and Fall of the Roman Empire,Edward Gibbon,No rating,No Reviews
The Enneads,Plotinus,No rating,No Reviews
Ecclesiastical History,Eusebius,No rating,No Reviews
Consolations of Philosophy,Boethius,No rating,No Reviews
Letters,Pliny the Younger,No rating,No Reviews
Byzantine verse romances,Unknown,No rating,No Reviews
Fragments,Heraclitus,No rating,No Reviews
Confessions,St. Augustine,No rating,No Reviews
Summa Theologica,Thomas Aquinas,No rating,No Reviews
The Little Flowers,St. Francis of Assisi,No rating,No Reviews
The Prince,Niccolò Machiavelli,No rating,No Reviews
Divine Comedy,Dante Alighieri,No rating,No Reviews
Novelle,Franco Sacchetti,No rating,No Reviews
Icelandic sagas,Unknown,No rating,No Reviews
Anthony and Cleopatra,William Shakespeare,No rating,No Reviews
Hamlet,William Shakespeare,No rating,No Reviews
Macbeth,William Shakespeare,No rating,No Reviews
Henry V,William Shakespeare,No rating,No Reviews
,François Rabelais,No rating,No Reviews
,Francis Bacon,No rating,No Reviews
Selected Works,Martin Luther,No rating,No Reviews
Institutes of the Christian Religion,John Calvin,No rating,No Reviews
Essays,Michel de Montaigne,No rating,No Reviews
Don Quixote,Miguel de Cervantes,No rating,No Reviews
Discourses,René Descartes ,No rating,No Reviews
Song of Roland,Unknown,No rating,No Reviews
Beowulf,Unknown,No rating,No Reviews
,Benvenuto Cellini,No rating,No Reviews
Education of Henry Adams,Henry Adams,No rating,No Reviews
The Leviathan,Thomas Hobbes,No rating,No Reviews
Thoughts,Blaise Pascal,No rating,No Reviews
Paradise Lost,John Milton,No rating,No Reviews
,John Donne,No rating,No Reviews
,Andrew Marvell,No rating,No Reviews
,George Herbert,No rating,No Reviews
,Richard Crashaw,No rating,No Reviews
Treatises,Baruch Spinoza,No rating,No Reviews
Charterhouse of Parma,Stendhal,No rating,No Reviews
The Red and the Black,Stendhal,No rating,No Reviews
The Life of Henry Brulard,Stendhal,No rating,No Reviews
Gulliver’s Travels,Jonathan Swift,No rating,No Reviews
Tristram Shandy,Laurence Sterne,No rating,No Reviews
Dangerous Liaisons,Choderlos de Laclos,No rating,No Reviews
Persian Letters,Baron de Montesquieu,No rating,No Reviews
Second Treatise on Government,John Locke,No rating,No Reviews
The Wealth of Nations,Adam Smith,No rating,No Reviews
Discourse on Metaphysics,Gottfried Leibniz,No rating,No Reviews
Everything,David Hume,No rating,No Reviews
The Federalist Papers,Unknown,No rating,No Reviews
Critique of Pure Reason,Immanuel Kant,No rating,No Reviews
Fear and Trembling,Søren Kierkegaard,No rating,No Reviews
Either/Or,Søren Kierkegaard,No rating,No Reviews
Philosophical Fragments,Søren Kierkegaard,No rating,No Reviews
Notes From the Underground,Fyodor Dostoevsky,No rating,No Reviews
The Possessed,Fyodor Dostoevsky,No rating,No Reviews
Democracy in America,Alexis de Tocqueville,No rating,No Reviews
Faust,Johann Wolfgang von Goethe,No rating,No Reviews
Italian Journey,Johann Wolfgang von Goethe,No rating,No Reviews
Empire of the Czar,Astolphe-Louis-Léonor,No rating,No Reviews
Empire of the Czar, Marquis de Custine,No rating,No Reviews
Mimesis,Eric Auerbach,No rating,No Reviews
Conquest of Mexico,William H. Prescott,No rating,No Reviews
Labyrinths of Solitude,Octavio Paz,No rating,No Reviews
The Logic of Scientific Discovery,Sir Karl Popper,No rating,No Reviews
The Open Society and Its Enemies,Sir Karl Popper,No rating,No Reviews
Crowds and Power,Elias Canetti,No rating,No Reviews
